method,expected_return,num_rollouts,k,exp,time_minutes
PW0.05,138.95,10,2,0.05,28.72622182369232
PW0.15,138.81,10,2,0.15,27.904497730731965
PW0.2,138.95,10,2,0.2,29.492219444115957
PW0.3,138.67,10,2,0.3,27.22513085603714
PW0.05,139.16,20,2,0.05,38.515379464626314
PW0.15,139.48,20,2,0.15,42.30339323679606
PW0.2,139.61,20,2,0.2,83.34678404728571
PW0.3,139.67,20,2,0.3,51.18214432001114
PW0.05,139.25,50,2,0.05,46.143532780806225
PW0.15,138.82,50,2,0.15,46.91856001615524
PW0.2,139.72,50,2,0.2,46.79338493347168
PW0.3,139.76,50,2,0.3,55.39528388977051
PW0.05,139.12,100,2,0.05,46.124221591154736
PW0.15,139.45,100,2,0.15,53.7941787481308
PW0.2,139.52,100,2,0.2,54.72122539679209
PW0.3,139.51,100,2,0.3,736.9674260695775
PW0.05,146.56,200,2,0.05,45.111569452285764
PW0.15,142.16,200,2,0.15,54.2811311284701
PW0.2,139.8,200,2,0.2,63.944637922445935
PW0.3,140.0,200,2,0.3,119.50372006098429
PW0.05,165.7,500,2,0.05,45.181774040063225
PW0.15,167.61,500,2,0.15,128.71869257688522
PW0.2,167.6,500,2,0.2,348.8349152247111
PW0.3,146.55,500,2,0.3,121.18573251962661
PW0.05,161.66,1000,2,0.05,52.65617133378983
PW0.15,168.5,1000,2,0.15,69.85842745701471
PW0.2,169.1,1000,2,0.2,86.59172051350275
PW0.3,168.17,1000,2,0.3,139.25226020812988
PW0.05,138.81,10,2,0.05,29.13998102347056
PW0.15,139.16,10,2,0.15,31.37169600725174
PW0.2,138.67,10,2,0.2,31.006505831082663
PW0.3,139.09,10,2,0.3,28.439043593406677
PW0.05,140.27,20,2,0.05,41.97246874968211
PW0.15,139.64,20,2,0.15,42.05204229354858
PW0.2,140.58,20,2,0.2,41.70980409383774
PW0.3,139.79,20,2,0.3,46.320313946406046
PW0.05,139.16,50,2,0.05,43.07822906176249
PW0.15,139.2,50,2,0.15,45.50031681060791
PW0.2,139.85,50,2,0.2,51.31675550540288
PW0.3,140.0,50,2,0.3,64.00273971160253
PW0.05,138.13,100,2,0.05,44.300304973125456
PW0.15,139.31,100,2,0.15,51.929458904266355
PW0.2,139.44,100,2,0.2,60.35380642414093
PW0.3,139.61,100,2,0.3,75.96668961048127
PW0.05,145.7,200,2,0.05,45.68790035645167
PW0.15,141.16,200,2,0.15,62.833451108137766
PW0.2,139.98,200,2,0.2,71.21092916329702
PW0.3,139.64,200,2,0.3,94.0332979242007
PW0.05,161.67,500,2,0.05,45.73195771773656
PW0.15,168.18,500,2,0.15,63.000431740283965
PW0.2,167.93,500,2,0.2,78.16205294926961
PW0.3,145.38,500,2,0.3,118.19809343020121
PW0.05,163.13,1000,2,0.05,51.977898410956065
PW0.15,168.5,1000,2,0.15,68.11032435099284
PW0.2,168.8,1000,2,0.2,84.03960285584132
PW0.3,167.6,1000,2,0.3,166.5245586435
PW0.05,138.81,10,2,0.05,32.4225088596344
PW0.15,139.09,10,2,0.15,37.440117228031156
PW0.2,139.16,10,2,0.2,34.12396963040034
PW0.3,138.25,10,2,0.3,36.94466911554336
PW0.05,139.84,20,2,0.05,108.95630607207616
PW0.15,139.81,20,2,0.15,68.89851148923238
PW0.2,139.3,20,2,0.2,64.1561440149943
PW0.3,140.52,20,2,0.3,59.57754030227661
PW0.05,139.1,50,2,0.05,56.48006402254104
PW0.15,139.03,50,2,0.15,56.78446532090505
PW0.2,139.74,50,2,0.2,62.209529145558676
PW0.3,140.02,50,2,0.3,63.107494445641834
PW0.05,138.21,100,2,0.05,46.03183205922445
PW0.15,138.96,100,2,0.15,55.354129707813264
PW0.2,139.26,100,2,0.2,69.51951549847921
PW0.3,139.93,100,2,0.3,79.99348595539729
PW0.05,145.88,200,2,0.05,48.284794902801515
PW0.15,141.92,200,2,0.15,61.06569391091664
PW0.2,139.3,200,2,0.2,71.99448200066884
PW0.3,139.63,200,2,0.3,97.99381548563639
PW0.05,164.03,500,2,0.05,101.60821872154871
PW0.15,167.84,500,2,0.15,92.93616427183152
PW0.2,167.45,500,2,0.2,93.61217861970266
PW0.3,145.79,500,2,0.3,147.36600335439047
PW0.05,163.13,1000,2,0.05,122.07233167886734
PW0.15,168.5,1000,2,0.15,94.65219557285309
PW0.2,169.5,1000,2,0.2,116.55198868115743
PW0.3,167.67,1000,2,0.3,739.9800837318103
PW0.05,139.09,10,2,0.05,43.470638847351076
PW0.15,139.02,10,2,0.15,48.481761662165326
PW0.2,138.88,10,2,0.2,45.03825876712799
PW0.3,138.6,10,2,0.3,61.105432566006975
PW0.05,140.29,20,2,0.05,68.041022336483
PW0.15,139.32,20,2,0.15,65.03828138113022
PW0.2,139.97,20,2,0.2,74.92354409297307
PW0.3,139.96,20,2,0.3,71.46993591785431
PW0.05,139.03,50,2,0.05,62.357542701562245
PW0.15,139.34,50,2,0.15,57.605652507146196
PW0.2,139.4,50,2,0.2,63.13718098799388
PW0.3,139.51,50,2,0.3,67.272729408741
PW0.05,138.6,100,2,0.05,44.154914542039236
PW0.15,139.48,100,2,0.15,55.11962059736252
PW0.2,139.53,100,2,0.2,658.262396009763
PW0.3,139.65,100,2,0.3,93.4174440741539
PW0.05,144.94,200,2,0.05,50.748362465699515
PW0.15,141.14,200,2,0.15,63.90997829039892
PW0.2,139.77,200,2,0.2,68.88587201833725
PW0.3,139.97,200,2,0.3,123.01041779518127
PW0.05,165.5,500,2,0.05,57.33693543275197
PW0.15,166.8,500,2,0.15,955.1223468343417
PW0.2,167.58,500,2,0.2,87.25826400518417
PW0.3,145.4,500,2,0.3,155.82738249699275
